10:22:10.436 [ApplicationImpl pooled thread 84] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:22:10.436 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:22:10.436 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:22:10.436 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
10:28:00.931 [ApplicationImpl pooled thread 91] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
10:28:00.932 [ApplicationImpl pooled thread 91] INFO  com.browserstack.sdk.utils.Helpers - true
10:28:00.933 [ApplicationImpl pooled thread 91] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:28:00.933 [ApplicationImpl pooled thread 91] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:28:00.933 [ApplicationImpl pooled thread 91] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:28:00.934 [ApplicationImpl pooled thread 91] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
10:34:26.618 [ApplicationImpl pooled thread 114] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
10:34:26.619 [ApplicationImpl pooled thread 114] INFO  com.browserstack.sdk.utils.Helpers - true
10:34:26.620 [ApplicationImpl pooled thread 114] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:34:26.621 [ApplicationImpl pooled thread 114] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:34:26.622 [ApplicationImpl pooled thread 114] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:34:26.622 [ApplicationImpl pooled thread 114] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
10:57:07.585 [ApplicationImpl pooled thread 170] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
10:57:07.586 [ApplicationImpl pooled thread 170] INFO  com.browserstack.sdk.utils.Helpers - true
10:57:07.587 [ApplicationImpl pooled thread 170] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:57:07.587 [ApplicationImpl pooled thread 170] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:57:07.588 [ApplicationImpl pooled thread 170] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:57:07.588 [ApplicationImpl pooled thread 170] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
11:00:36.145 [ApplicationImpl pooled thread 176] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
11:00:36.145 [ApplicationImpl pooled thread 176] INFO  com.browserstack.sdk.utils.Helpers - true
11:00:36.147 [ApplicationImpl pooled thread 176] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
